test,ocaml_time_s,anim_time_s,ocaml_passed,ocaml_total,anim_passed,anim_total
test-interpreter/spec-test-3/address.wast,0.11495,2.47564,264,264,264,264
test-interpreter/spec-test-3/align.wast,0.03228,2.84019,142,142,142,142
test-interpreter/spec-test-3/annotations.wast,0.00379,0.12615,20,20,20,20
test-interpreter/spec-test-3/binary-leb128.wast,0.01590,0.20698,66,66,66,66
test-interpreter/spec-test-3/binary.wast,0.00119,0.08312,40,40,40,40
test-interpreter/spec-test-3/block.wast,0.01849,2.10952,209,209,209,209
test-interpreter/spec-test-3/br.wast,0.00796,1.38949,98,98,98,98
test-interpreter/spec-test-3/br_if.wast,0.00890,1.74030,120,120,120,120
test-interpreter/spec-test-3/br_on_non_null.wast,0.00119,0.27276,15,15,15,15
test-interpreter/spec-test-3/br_on_null.wast,0.00091,0.23524,13,13,13,13
test-interpreter/spec-test-3/br_table.wast,0.51466,3.69413,187,187,187,187
test-interpreter/spec-test-3/bulk-memory/bulk.wast,2.31423,4.08104,129,129,129,129
test-interpreter/spec-test-3/bulk-memory/memory_copy.wast,1.78651,29.74884,4242,4242,4242,4242
test-interpreter/spec-test-3/bulk-memory/memory_fill.wast,1.15910,5.81609,102,102,102,102
test-interpreter/spec-test-3/bulk-memory/memory_init.wast,0.10618,2.24835,279,279,279,279
test-interpreter/spec-test-3/bulk-memory/table-sub.wast,0.00016,0.03229,4,4,4,4
test-interpreter/spec-test-3/bulk-memory/table_copy.wast,0.10693,25.02436,1779,1779,1779,1779
test-interpreter/spec-test-3/bulk-memory/table_fill.wast,0.00143,0.37534,46,46,46,46
test-interpreter/spec-test-3/bulk-memory/table_init.wast,0.05215,12.15265,832,832,832,832
test-interpreter/spec-test-3/call.wast,2.00484,268.00000,92,92,92,92
test-interpreter/spec-test-3/call_indirect.wast,0.12377,22.15700,159,159,159,159
test-interpreter/spec-test-3/call_ref.wast,1.25432,270.00000,39,39,39,39
test-interpreter/spec-test-3/comments.wast,0.00021,0.04993,13,13,13,13
